month,City,Air_code,State,Airport,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
1,College Station/Bryan,CLL,TX,Easterwood Field,108,21,8.49,0,3.32,0,9.19,1,0,1262,623,0,159,0,480
1,Colorado Springs,COS,CO,City of Colorado Springs Municipal,743,200,56.25,4.65,68.86,0,70.24,11,7,14145,5511,420,2661,0,5553
1,Columbia,CAE,SC,Columbia Metropolitan,327,75,36.74,0.54,10.02,0,27.7,5,0,7159,4343,30,572,0,2214
1,Columbus,CMH,OH,John Glenn Columbus International,1878,375,145.55,13.07,53.85,0.25,162.26,21,4,22457,8861,1549,1985,8,10054
1,Columbus,CSG,GA,Columbus Airport,79,18,10.11,0,3.37,0,4.52,4,0,876,528,0,97,0,251
1,Columbus,GTR,MS,Golden Triangle Regional,82,19,13.71,0,0.81,0,4.48,5,0,2243,1923,0,96,0,224
1,Cordova,CDV,AK,Merle K Mudhole Smith,60,8,1.2,1.44,4.58,0,0.77,4,7,199,24,52,100,0,23
1,Corpus Christi,CRP,TX,Corpus Christi International,200,32,13.81,0.37,7.37,0,10.44,1,0,1530,641,23,203,0,663
1,Dallas,DAL,TX,Dallas Love Field,5883,1160,293.27,30.94,230.57,0.64,604.59,121,26,55781,13939,2316,8953,14,30559
1,Dallas/Fort Worth,DFW,TX,Dallas/Fort Worth International,15324,2815,781.85,85.2,859.35,7.38,1081.21,268,55,211104,76745,11673,37705,352,84629
1,Dayton,DAY,OH,James M Cox/Dayton International,378,72,28.27,5.03,13.91,0,24.79,7,0,4641,1605,759,442,0,1835
1,Daytona Beach,DAB,FL,Daytona Beach International,150,24,6.56,4.85,4.62,0,7.97,1,0,2053,760,381,310,0,602
1,Deadhorse,SCC,AK,Deadhorse Airport,62,10,2.4,0,5.01,0,2.59,0,5,524,125,0,126,0,273
1,Denver,DEN,CO,Denver International,17021,3738,886.25,136.73,1371.5,3.36,1340.14,303,14,230634,62126,11503,64433,130,92442
1,Des Moines,DSM,IA,Des Moines International,689,141,48.44,2.9,34.08,0,55.57,7,0,9705,4220,78,1304,0,4103
1,Detroit,DTW,MI,Detroit Metro Wayne County,9708,1764,509.26,71.03,500.84,2.26,680.58,190,16,142304,58850,8998,22740,90,51626
1,Devils Lake,DVL,ND,Devils Lake Regional,54,10,2.13,0.24,1.62,0,6.01,9,0,691,175,10,58,0,448
1,Dothan,DHN,AL,Dothan Regional,113,27,15.87,0,3.03,0,8.1,4,1,2041,1220,0,156,0,665
1,Duluth,DLH,MN,Duluth International,179,18,4.04,1,7.24,0,5.72,4,1,774,157,19,265,0,333
1,Durango,DRO,CO,Durango La Plata County,110,19,5.51,1.14,9.87,0,2.47,3,0,1128,372,276,387,0,93
1,Eagle,EGE,CO,Eagle County Regional,320,90,25.35,2.56,47.33,0,14.75,30,8,6580,1567,575,2001,0,2437
1,Eau Claire,EAU,WI,Chippewa Valley Regional,58,6,1.76,0,0.08,0,4.16,4,0,229,113,0,2,0,114
