month,Cold,Fog,Hail,Precipitation,Rain,Snow,Storm,EventTotal,Avg_Severity,LocationLat,LocationLng,City,County,State,ZipCode
1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7,4.0,45.6689,-96.9914,Sisseton,Roberts,SD,57262.0
1,8.0,0.0,0.0,0.0,0.0,0.0,2.0,10,4.0,48.6011,-113.1147,Browning,Glacier,MT,59417.0
1,1.0,7.0,0.0,0.0,0.0,55.0,0.0,63,1.9047619047619047,48.9402,-97.9053,Walhalla,Pembina,ND,58282.0
1,0.0,8.0,0.0,0.0,6.0,0.0,0.0,14,2.7142857142857144,33.6325,-83.8496,Oxford,Newton,GA,30054.0
1,0.0,15.0,0.0,2.0,49.0,1.0,0.0,67,1.8656716417910448,34.6594,-87.3488,Courtland,Lawrence,AL,35618.0
1,1.0,19.0,0.0,0.0,12.0,93.0,1.0,126,1.6507936507936507,41.1167,-114.9667,Wells,Elko,NV,89835.0
1,1.0,2.0,0.0,0.0,0.0,29.0,0.0,32,1.78125,48.48,-99.236,Cando,Towner,ND,58324.0
1,0.0,10.0,1.0,0.0,84.0,1.0,0.0,96,1.2395833333333333,34.9908,-117.8631,Edwards,Kern,CA,93524.0
1,39.0,0.0,0.0,1.0,0.0,0.0,0.0,40,3.925,44.0206,-92.4829,Rochester,Olmsted,MN,55902.0
1,0.0,5.0,0.0,0.0,1.0,21.0,0.0,27,1.5555555555555556,43.7659,-99.3216,Chamberlain,Brule,SD,57325.0
1,0.0,17.0,0.0,0.0,50.0,11.0,0.0,78,1.641025641025641,40.1589,-89.3389,Lincoln,Logan,IL,62656.0
1,0.0,0.0,0.0,0.0,27.0,1.0,0.0,28,1.3571428571428572,29.7268,-85.0248,Apalachicola,Franklin,FL,32320.0
1,0.0,7.0,0.0,0.0,17.0,2.0,0.0,26,1.9230769230769231,37.7497,-97.2191,Wichita,Sedgwick,KS,67226.0
1,4.0,21.0,0.0,0.0,16.0,68.0,0.0,109,1.853211009174312,41.4836,-120.5615,Alturas,Modoc,CA,96101.0
1,0.0,11.0,0.0,1.0,33.0,11.0,0.0,56,1.6428571428571428,40.6499,-75.4477,Catasauqua,Lehigh,PA,18032.0
